problem,type,module_name,class_name,method_name
cohesion,call,com.android.server.wm,com.android.server.wm.InputMonitor,com.android.server.wm.InputMonitor.updateInputWindowsLw
cohesion,call,com.android.server.wm,com.android.server.wm.SplashScreenStartingData,com.android.server.wm.SplashScreenStartingData.createStartingSurface
cohesion,call,com.android.server.wm,com.android.server.wm.TaskSnapshotController,com.android.server.wm.TaskSnapshotController.snapshotTask
cohesion,call,com.android.server.wm,com.android.server.wm.TaskSnapshotSurface,com.android.server.wm.TaskSnapshotSurface.create
cohesion,called,com.android.server.wm,com.android.server.wm.WindowContainerController,com.android.server.wm.WindowContainerController.removeContainer
cohesion,called,com.android.server.wm,com.android.server.wm.WindowToken,com.android.server.wm.WindowToken.okToAnimate
cohesion,call,com.android.server.wm,com.android.server.wm.WindowToken,com.android.server.wm.WindowToken.setExiting
cohesion,call,com.android.server.wm,com.android.server.wm.DisplayContentTests,com.android.server.wm.DisplayContentTests.testFocusedWindowMultipleDisplays
cohesion,call,com.android.server.wm,com.android.server.wm.DisplayContentTests,com.android.server.wm.DisplayContentTests.testDisplayCutout_rot90
cohesion,call,com.android.server.wm,com.android.server.wm.DisplayContentTests,com.android.server.wm.DisplayContentTests.testMoveStackBetweenDisplays
cohesion,call,com.android.server.wm,com.android.server.wm.DisplayContentTests,com.android.server.wm.DisplayContentTests.testDisplayOverrideConfigUpdate
cohesion,call,com.android.server.wm,com.android.server.wm.DragDropControllerTests,com.android.server.wm.DragDropControllerTests.testPerformDrag_NullDataToOtherUser
cohesion,call,com.android.server.wm,com.android.server.wm.DragDropControllerTests,com.android.server.wm.DragDropControllerTests.setUp
cohesion,call,com.android.server.wm,com.android.server.wm.DragDropControllerTests,com.android.server.wm.DragDropControllerTests.tearDown
coupling,call,com.android.server.wm,com.android.server.wm.AccessibilityController,com.android.server.wm.AccessibilityController.setMagnificationCallbacksLocked
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.logAppTransitionReportedDrawn
coupling,called,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.logAppTransitionReportedDrawn
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.reset
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.logAppFullyDrawn
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.logAbortedBgActivityStart
coupling,called,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.logAbortedBgActivityStart
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.calculateCurrentDelay
coupling,called,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.getTransitionType
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.logAppStartMemoryStateCapture
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.ActivityMetricsLogger
coupling,called,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.findProcessForActivity
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.getArtManagerInternal
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.startTraces
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.logWindowState
coupling,called,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.logWindowState
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.stopLaunchTrace
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.logAppTransitionCancel
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.notifyActivityLaunching
coupling,called,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.notifyActivityLaunching
coupling,called,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.getLaunchObserverRegistry
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.notifyActivityLaunched
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.launchObserverNotifyIntentStarted
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.launchObserverNotifyIntentFailed
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.launchObserverNotifyActivityLaunched
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.launchObserverNotifyActivityLaunchCancelled
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.launchObserverNotifyActivityLaunchFinished
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.convertActivityRecordToProto
coupling,called,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.convertActivityRecordToProto
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.notifyWindowsDrawn
coupling,called,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.notifyWindowsDrawn
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.logAppTransitionMultiEvents
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.notifyTransitionStarting
coupling,called,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.notifyTransitionStarting
coupling,called,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.notifyBindApplication
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.notifyVisibilityChanged
coupling,called,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.notifyVisibilityChanged
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.checkVisibility
coupling,called,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.checkVisibility
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.logAppTransition
coupling,call,com.android.server.wm,com.android.server.wm.ActivityMetricsLogger,com.android.server.wm.ActivityMetricsLogger.logAppDisplayed
coupling,inherit,com.android.server.wm,com.android.server.wm.ActivityRecord,
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.dump
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.dump
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.scheduleActivityMovedToDisplay
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.scheduleConfigurationChanged
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.scheduleTopResumedActivityChanged
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.scheduleTopResumedActivityChanged
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.updateMultiWindowMode
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.updateMultiWindowMode
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.scheduleMultiWindowModeChanged
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.updatePictureInPictureMode
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.updatePictureInPictureMode
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.schedulePictureInPictureModeChanged
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.forTokenLocked
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.forTokenLocked
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.isResolverOrDelegateActivity
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.isResolverOrDelegateActivity
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.isResolverOrChildActivity
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.isResolverOrChildActivity
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.ActivityRecord
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.setProcess
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.setProcess
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.hasProcess
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.attachedToProcess
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.attachedToProcess
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.createAppWindowToken
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.createAppWindowToken
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.addStartingWindow
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.removeWindowContainer
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.removeWindowContainer
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.reparent
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.reparent
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.isHomeIntent
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.isMainIntent
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.canLaunchHomeActivity
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.canLaunchHomeActivity
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.canLaunchAssistActivity
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.setActivityType
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.getActivityStack
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.getActivityStack
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.isInHistory
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.isPersistable
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.isPersistable
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.isResizeable
coupling,called,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.isResizeable
coupling,call,com.android.server.wm,com.android.server.wm.ActivityRecord,com.android.server.wm.ActivityRecord.supportsPictureInPicture
